Year,Yearly Cumulative Return,Sharpe Ratio
2012,0.290705605730722,3.269669482829351
2013,0.24404025407951524,3.2517328982445153
2014,0.2724629280268904,2.7159032479764997
2015,0.29121721636826425,3.2403426627942555
2016,0.2857799816670885,3.052418905786358
2017,0.27650358015040455,4.939621846664296
2018,0.35813571857946735,4.289776192562758
2019,0.27893285764986886,2.9925140574556486
2020,0.34250498446386124,1.0747456593155587
2021,0.32636378162151036,3.647547073326858
2022,0.45342498095106776,2.626645611500362
2023,0.26810420550263947,2.688686571087274
2024,0.3676705288080424,3.2231338527803057
